X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,type,state,district,city,location_placename_gid,location_placename_name,gid,layer_switcher
72.877312,19.171569,Dindoshi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1279",Shivaji Nagar,"1",poi_police_station
72.861748,19.037868,Sion PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1303",Sion Hospital Colony,"2",poi_police_station
72.840468,19.02306,Shivaji Park PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1174",Kelkarwadi,"3",poi_police_station
72.854904,19.042069,Dharavi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1017",Kamla Nehru Nagar,"4",poi_police_station
72.924156,19.117538,Parksite PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"661",Ramwadi,"5",poi_police_station
72.926301,19.052789,Mankhurd PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"334",Lallubhai Compound,"6",poi_police_station
72.917794,19.04824,Govandi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"521",Deonar Village,"7",poi_police_station
72.850452,19.209726,Kandivali PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"210",Kandivali Police Line,"8",poi_police_station
72.840419,19.232248,MHB Colony PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1124",Ashok Nagar,"9",poi_police_station
72.871557,19.162814,Aarey Sub PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1541",Jay Prakash Nagar,"10",poi_police_station
72.880325,19.058945,Nehru Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1334",Shiv Shakti Nagar,"11",poi_police_station
72.843998,19.00666,Bhoiwada PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"955",Bhoiwada,"12",poi_police_station
72.845547,19.157354,Goregaon PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"405",Mig Colony,"13",poi_police_station
72.835819,19.055855,Bandra PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"635",Santhosh Nagar,"14",poi_police_station
72.835241,18.945938,MRA Marg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1512",Fort,"15",poi_police_station
72.841403,19.22591,Borivali PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"599",Borivali,"16",poi_police_station
72.857895,19.22814,Kasturba PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1451",Chinchpada,"17",poi_police_station
72.859319,19.18552,Kurar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"727",Ambewadi,"18",poi_police_station
72.818779,18.911914,Cuffe Parade PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"649",Cuffe Parade,"19",poi_police_station
72.832244,18.96282,JJ Marg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"871",Jj Hospital And College Campus,"20",poi_police_station
72.817039,18.96079,DB Marg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1587",Grant Road,"21",poi_police_station
72.841358,18.947151,Yellow Gate PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1503",Masjid Bandar,"22",poi_police_station
72.824783,18.929958,Marine Drive PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1581",Churchgate,"23",poi_police_station
72.818848,18.978861,Tardeo PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1132",Ratan Tata Colony,"24",poi_police_station
72.893767,19.051556,Chembur PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1424",Sindhi Society,"25",poi_police_station
72.8791,19.054719,Chunabhatti PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1294",Tadwadi,"26",poi_police_station
72.895889,19.065224,Tilak Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"27",Indira Nagar,"27",poi_police_station
72.844739,19.183603,Malad PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"904",Somwari Bazar,"28",poi_police_station
72.848311,19.142503,Amboli PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"996",Prabhat Nagar,"29",poi_police_station
72.863693,19.015272,Wadala PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1375",Nandkarni Park,"30",poi_police_station
72.839069,19.0422,Mahim PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1496",Mahim,"31",poi_police_station
72.852615,19.037129,Shahu Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1",Dharavi,"32",poi_police_station
72.820613,19.214632,Charkop PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"465",Sector 2 Charkop,"33",poi_police_station
72.834843,19.084223,Santacruz PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1301",Hasmukh Nagar,"34",poi_police_station
72.936424,19.151262,Bhandup PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"434",Govind Nagar,"35",poi_police_station
72.81509,19.137704,Varsova PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1201",Ratan Kunj,"36",poi_police_station
72.876236,19.0648,Kurla PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"961",Jagruti Nagar,"37",poi_police_station
72.782564,19.237608,Gorai PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"728",Gorai 2,"38",poi_police_station
72.968369,19.169038,Navghar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"296",Hanuman Chowk,"39",poi_police_station
72.830346,18.945336,LT Marg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"438",Tak Wadi,"40",poi_police_station
72.864815,19.030468,Antop Hill PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"711",Cgs Colony Sector 4,"41",poi_police_station
72.83902,18.962186,Dongri PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"918",Dongri,"42",poi_police_station
